,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Qualify for Tax Benefits
48771,ELEC,Main + Market Natomas,3991 E Commerce Way,,Sacramento,CA,95834,,866-816-7584,E,,Public,,,,,,,,2.0,,EV Connect,http://evconnect.com/,GPS,38.641966,-121.520005,2024-04-07,240767,2024-04-07 02:06:31 UTC,,,,2023-01-01,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
55397,ELEC,Ardent Mills Shuttlewagon,3939 Producers Dr,,Stockton,CA,95206,,,E,,Private,,,,,,,,1.0,,Non-Networked,,200-8,37.9086,-121.27141,2023-07-11,298649,2024-01-31 22:07:01 UTC,P,,,2023-01-01,,,,,CHADEMO J1772COMBO,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,LD,True,False
56816,ELEC,Caledonia City Hall - Water Tower,231 Main St,,Caledonia,MN,55921,,612-688-4596,E,,Public,24 hours daily,APPLE_PAY,,,,,2.0,,,ZEFNET,https://www.zefenergy.com,200-8,43.63509,-91.49506,2023-09-14,306730,2024-01-31 22:07:01 UTC,P,,,2023-01-01,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$0.20 per kWh,,,,,,,,,NONE,False,,,,,,,,HD,False,True
56936,ELEC,Via,625 W 57th St,,New York,NY,10019,,,E,,Private,,A CREDIT D M V,,,,,,16.0,,REVEL,https://gorevel.com,200-8,40.77081,-73.99214,2023-09-14,307035,2024-01-31 22:07:01 UTC,P,,,2023-01-01,,,,,J1772COMBO TESLA,US,,,,Privé,,private,,,PARKING_GARAGE,,,,,,,,,,,,,,,,,,,,,,,,,LD,False,True
62094,ELEC,Tesco,9955 Crosspoint Blvd,,Indianapolis,IN,46256,,317-691-5294,E,,Public,24 hours daily,A D M V,,,,,2.0,,,TURNONGREEN,https://turnongreen.com,200-8,39.93482,-86.02704,2024-02-12,320970,2024-02-12 21:24:44 UTC,P,,,2023-01-01,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,False,,,,,,,,HD,True,None
62523,ELEC,Parking Deck B,343 Technology Center Way,,Rock Hill,SC,29730,,,E,,Public,24 hours daily,,,,,,6.0,,,Non-Networked,,200-8,34.93329,-81.03139,2024-01-09,322496,2024-01-31 22:07:01 UTC,P,,,2023-01-01,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free for first 2 hours,,,,,,,,,,False,,,,,,,,LD,False,None
63064,ELEC,Comfort Suites Manheim,543 Champ Blvd,,Manheim,PA,17545,,717-898-2926,E,,Public,24 hours daily,A CREDIT D Debit M V,,,,,8.0,,,EVGATEWAY,http://evgateway.com/,200-8,40.10695,-76.42717,2024-01-09,323702,2024-01-31 22:07:01 UTC,P,,,2023-01-01,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,$0.30 per kWh,,,,,,,,,,False,,,,,,,,LD,False,None
63066,ELEC,Solar Hotel,240 Hartman Bridge Rd,,Manheim,PA,17572,,717-687-8635,E,,Public,24 hours daily,A CREDIT D Debit M V,,,,,8.0,,,EVGATEWAY,http://evgateway.com/,200-8,39.99998,-76.18514,2024-01-09,323704,2024-01-31 22:07:01 UTC,P,,,2023-01-01,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,$0.30 per kWh,,,,,,,,,,False,,,,,,,,LD,False,False
